season,team,conference,wins,win_pct,losses,adj_margin,strength_of_schedule,points_per_game,points_allowed_per_game,ft_pct,three_pt_pct,three_pa_rate,ft_rate,off_rebound_pct,def_rebound_pct,turnover_pct,adj_offense,adj_defense,coach,coach_years_at_school,coach_ncaa_games,coach_sweet16s,coach_finalfours,road_wins,road_losses,neutral_wins,neutral_losses,net_rank,quad1_wins,quad2_wins,tempo,opp_turnover_pct,opp_three_pt_pct,close_game_record,last10_win_pct,last10_adj_margin,avg_age,underclass_minutes_pct,freshman_minutes_pct,freshman_guard_minutes_pct,sophomore_minutes_pct,junior_minutes_pct,senior_minutes_pct,returning_starters,returning_minutes_pct,primary_guard_experience_score,backcourt_experience_score,frontcourt_experience_score,bench_minutes_pct,bench_points_pct,injury_flag,star_player_flag,chicago_guard_count,nyc_guard_count,indiana_guard_count,texas_big_count,southern_big_count,west_coast_wing_count,local_site_player_count,host_state_player_count
2026,Incarnate Word,7,12,0.387,19.0,-7.09,-2.51,74.3,73.7,71.6,37.7,22.8,19.2,11.8,22.5,11.2,73.5,74.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Indiana,9,18,0.563,14.0,16.7,10.7,78.2,72.2,78.0,34.699999999999996,28.3,19.6,8.2,24.2,10.2,81.4,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Indiana State,4,11,0.344,21.0,-2.7,0.7,73.6,74.5,67.60000000000001,31.900000000000002,26.2,16.4,9.3,25.8,13.7,73.8,74.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Iona,10,18,0.563,14.0,-7.27,-7.99,73.8,73.1,70.7,35.099999999999994,27.2,17.4,9.9,25.7,12.0,71.4,75.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Iowa,10,21,0.636,12.0,19.0,9.76,75.2,66.0,77.0,35.699999999999996,22.4,18.6,8.8,20.6,9.7,78.1,63.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Iowa State,12,27,0.794,7.0,27.15,10.5,81.8,65.1,67.2,38.7,23.4,20.5,11.9,23.8,10.3,85.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,IU Indy,3,7,0.219,25.0,-12.45,-4.15,83.5,88.3,72.7,32.6,29.6,14.6,11.2,21.2,12.0,82.3,89.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Jackson State,10,12,0.364,21.0,-19.48,-5.96,70.2,83.8,75.8,31.4,25.4,21.9,11.4,22.6,13.9,68.4,85.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Jacksonville,7,12,0.375,20.0,-10.72,-5.05,73.1,73.4,71.8,32.7,21.7,19.2,11.1,22.8,11.2,71.6,74.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Jacksonville State,10,15,0.469,17.0,-3.46,-2.8,72.7,68.4,68.5,35.8,21.7,23.6,10.9,25.8,11.4,71.9,69.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,James Madison,9,18,0.545,15.0,-4.96,-5.24,74.5,73.8,70.6,34.8,24.1,20.4,10.6,26.1,11.7,72.9,75.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Kansas,12,23,0.697,10.0,21.1,14.86,75.6,69.4,76.7,35.0,21.1,19.2,10.1,28.7,10.7,80.1,64.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Kansas City,1,4,0.129,27.0,-19.67,-1.92,69.3,83.9,67.60000000000001,30.099999999999998,22.3,18.7,10.5,22.8,13.1,68.7,84.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Kansas State,3,12,0.375,20.0,8.58,10.86,79.6,81.8,71.0,36.4,25.9,17.0,10.4,23.6,12.9,82.9,78.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Kennesaw State,10,21,0.618,13.0,0.13,-2.0,83.4,76.1,69.1,35.0,26.9,27.0,13.9,26.4,11.9,82.8,76.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Kent State,14,24,0.727,9.0,-0.1,-2.45,85.1,79.6,74.2,35.8,27.5,26.4,13.1,26.5,13.2,84.4,80.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Kentucky,10,21,0.618,13.0,19.8,12.86,80.8,73.8,72.8,34.1,23.7,22.7,11.9,25.6,10.5,84.7,69.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,La Salle,5,9,0.281,23.0,-4.1,4.0,67.1,74.1,72.39999999999999,29.799999999999997,17.9,20.9,12.2,22.8,12.1,68.3,72.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Lafayette,8,11,0.344,21.0,-12.84,-6.58,69.4,74.4,69.0,32.1,23.0,18.7,9.3,23.8,10.4,67.4,76.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Lamar,7,12,0.387,19.0,-5.73,-3.66,69.9,69.1,70.19999999999999,32.9,20.7,16.6,13.2,24.1,12.0,68.8,70.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Le Moyne,10,15,0.469,17.0,-10.89,-9.31,73.0,73.2,71.89999999999999,34.0,22.2,21.1,8.3,26.6,13.2,70.2,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Lehigh,11,18,0.529,16.0,-9.32,-7.04,73.2,74.0,73.1,35.9,21.9,18.1,7.7,24.2,12.1,71.1,76.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Liberty,17,25,0.781,7.0,2.47,-1.57,78.2,70.4,70.5,39.800000000000004,26.7,16.7,5.7,23.4,8.8,77.7,70.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Lindenwood,11,18,0.545,15.0,-9.11,-8.44,77.8,72.7,68.0,30.8,19.1,23.0,12.8,26.5,13.5,75.3,75.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Lipscomb,12,19,0.594,13.0,-4.18,-4.78,79.7,75.7,75.4,36.199999999999996,29.7,15.9,9.4,25.2,11.3,78.3,77.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Little Rock,9,12,0.375,20.0,-12.97,-7.71,70.5,74.1,67.5,35.6,18.3,16.7,11.3,22.5,12.8,68.2,76.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Long Beach State,6,10,0.313,22.0,-5.51,0.26,74.9,77.8,72.6,33.1,20.6,18.2,9.4,23.8,12.8,75.0,77.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Long Island University,15,24,0.706,10.0,-4.96,-7.93,74.1,71.1,66.8,36.1,16.5,19.8,11.4,23.6,13.0,71.7,73.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Longwood,8,16,0.5,16.0,-8.22,-7.88,77.7,74.1,74.0,31.5,19.6,23.9,12.2,25.0,13.9,75.3,76.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Louisiana,7,11,0.333,22.0,-12.03,-5.03,63.7,70.7,70.39999999999999,33.6,22.5,16.0,9.8,20.5,10.8,62.2,72.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Louisiana State,3,15,0.469,17.0,12.69,9.75,81.4,78.5,76.4,33.1,20.5,24.3,11.2,25.7,11.0,84.3,75.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Louisiana Tech,11,20,0.588,14.0,-2.92,-2.98,69.9,65.0,66.7,29.9,19.5,19.1,13.2,25.3,12.2,69.0,65.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Louisiana-Monroe,1,4,0.125,28.0,-18.52,-4.86,72.4,83.9,73.1,31.900000000000002,24.1,22.9,9.3,23.1,12.1,70.9,85.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Louisville,11,23,0.697,10.0,23.41,10.83,84.8,72.2,76.9,35.699999999999996,32.3,20.5,11.3,27.1,11.6,88.0,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Loyola,4,9,0.273,24.0,-6.13,2.84,66.8,75.8,67.30000000000001,31.7,25.9,18.9,10.3,23.8,13.1,67.7,74.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Loyola,8,12,0.375,20.0,-13.33,-8.49,75.2,77.1,70.19999999999999,33.4,28.6,18.4,10.7,24.5,10.9,72.7,79.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Loyola Marymount,6,15,0.469,17.0,1.08,1.5,74.2,72.1,70.39999999999999,34.9,23.2,18.2,9.1,24.9,12.0,74.6,71.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Maine,6,8,0.25,24.0,-16.91,-9.59,62.5,68.4,64.1,31.900000000000002,18.7,18.8,6.3,21.8,12.4,59.6,71.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Manhattan,8,12,0.375,20.0,-15.1,-7.9,74.0,78.9,79.5,32.4,22.2,20.4,10.7,22.5,10.7,71.6,81.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Marist,12,19,0.613,12.0,-3.63,-8.6,69.7,63.8,78.3,32.800000000000004,20.3,14.7,10.0,25.8,11.2,67.1,66.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Marquette,7,12,0.375,20.0,9.22,9.84,75.2,75.8,67.5,31.7,25.8,20.0,11.1,23.1,11.4,78.2,72.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Marshall,11,19,0.594,13.0,-2.83,-4.41,81.1,78.0,73.2,36.8,27.4,17.9,11.3,25.5,11.7,79.8,79.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Maryland,4,12,0.364,21.0,4.8,11.68,69.7,76.6,72.2,31.7,26.7,20.7,12.2,23.2,12.4,73.2,73.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Maryland-Baltimore County,14,24,0.75,8.0,-4.4,-11.86,76.2,67.0,76.2,36.1,22.4,18.8,8.2,27.2,9.6,72.6,70.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Maryland-Eastern Shore,5,9,0.281,23.0,-17.48,-8.35,64.4,70.8,71.7,30.0,17.9,15.6,10.5,22.0,15.8,61.9,73.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Massachusetts,7,17,0.515,16.0,-2.14,-3.23,80.2,77.6,67.2,34.599999999999994,21.7,22.5,12.2,25.3,13.0,79.2,78.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Massachusetts-Lowell,9,15,0.455,18.0,-14.12,-8.42,74.9,76.3,66.7,32.2,18.3,21.5,12.3,25.2,12.2,72.4,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,McNeese,19,28,0.848,5.0,7.74,-2.06,80.0,66.5,74.7,31.900000000000002,20.9,22.9,12.7,22.5,9.6,79.4,67.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Memphis,8,13,0.406,19.0,3.95,5.42,75.2,76.7,72.1,31.6,20.7,21.3,13.1,23.8,13.6,76.8,75.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Mercer,11,19,0.594,13.0,-2.87,-5.21,82.7,75.5,72.3,34.9,25.1,23.2,12.3,25.3,10.4,81.1,77.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Mercyhurst,10,17,0.5,17.0,-9.86,-9.46,69.4,67.4,72.5,32.7,18.4,14.5,9.1,23.6,9.5,66.6,70.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Merrimack,17,23,0.676,11.0,-4.27,-6.33,68.5,66.5,78.8,32.7,24.6,20.4,8.1,20.6,9.6,66.6,68.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Miami,13,25,0.758,8.0,18.04,7.28,81.9,71.2,68.5,34.699999999999996,18.9,22.4,12.2,25.1,11.2,84.1,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Miami,18,31,0.969,1.0,5.37,-5.49,90.7,75.3,74.9,39.2,26.7,23.6,8.3,27.2,10.5,89.1,76.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Michigan,19,31,0.912,3.0,32.48,14.86,86.8,69.2,74.7,36.0,25.1,22.7,11.0,29.0,12.0,91.3,64.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Michigan State,15,25,0.781,7.0,23.44,12.91,78.9,68.4,76.3,35.9,21.3,21.2,12.7,27.1,11.5,82.8,64.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Middle Tennessee,11,17,0.531,15.0,0.23,1.36,75.4,72.8,70.19999999999999,34.0,27.3,19.0,11.1,25.1,11.5,75.8,72.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Milwaukee,8,12,0.375,20.0,-7.52,-2.26,76.2,79.6,69.0,32.300000000000004,23.2,19.9,12.6,23.5,10.4,75.5,80.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Minnesota,8,15,0.469,17.0,10.45,8.95,70.0,68.5,70.0,34.8,24.7,18.8,8.5,22.5,10.6,72.7,65.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Mississippi,4,15,0.429,20.0,11.13,11.36,75.9,76.1,74.9,33.2,21.5,19.9,10.0,24.3,9.7,79.3,72.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Mississippi State,5,13,0.406,19.0,7.27,11.46,77.6,81.8,66.0,32.4,25.3,19.3,11.3,26.9,11.6,81.0,78.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Mississippi Valley State,2,3,0.091,30.0,-28.36,-7.89,64.2,83.0,71.39999999999999,30.0,17.2,18.8,9.2,21.3,15.4,61.8,85.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Missouri,10,20,0.625,12.0,13.08,8.77,79.7,75.3,68.60000000000001,35.0,20.5,24.2,11.6,24.0,12.4,82.3,72.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Missouri State,8,16,0.471,18.0,-2.67,-1.41,75.0,73.6,67.7,32.9,23.2,23.9,11.5,23.1,11.1,74.6,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Monmouth,11,19,0.559,15.0,-2.11,-3.14,72.7,70.9,74.7,34.4,20.1,19.1,11.1,23.9,11.4,71.8,71.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Montana,10,18,0.529,16.0,-2.33,-0.47,77.3,74.6,77.0,35.8,22.9,20.3,6.6,27.8,13.7,77.2,74.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Montana State,12,18,0.563,14.0,1.09,-1.05,77.9,71.4,74.5,37.1,26.7,17.6,9.3,23.8,10.0,77.6,71.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Morehead State,15,20,0.606,13.0,-11.13,-7.56,75.3,74.7,73.4,33.300000000000004,17.8,21.6,12.3,23.8,11.8,73.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Morgan State,10,14,0.467,16.0,-19.26,-10.93,75.3,78.2,74.2,33.1,21.1,24.7,11.4,23.5,12.6,72.0,81.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Mount St. Mary's,11,15,0.469,17.0,-10.35,-7.22,68.1,70.1,67.10000000000001,32.5,23.8,17.9,10.9,26.2,15.2,65.9,72.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Murray State,12,20,0.625,12.0,3.9,0.49,83.3,79.9,75.7,34.8,27.2,23.8,11.7,24.7,11.7,83.4,79.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
