season,team,avg_class,freshman_min_pct,sophomore_min_pct,junior_min_pct,senior_min_pct,underclass_min_pct,player_count
2015,Jacksonville,2.381,14.6,33.0,51.7,0.6,47.7,15
2015,Minnesota,3.049,17.7,7.3,27.5,47.5,25.0,14
2015,Baylor,2.871,19.4,4.1,46.4,30.1,23.6,12
2015,Delaware,1.977,37.8,39.9,9.3,13.0,77.6,15
2015,Troy,2.678,24.3,13.1,33.2,29.5,37.4,13
2015,UCLA,2.187,28.4,41.9,12.2,17.5,70.4,13
2015,South Florida,2.385,42.7,7.5,18.5,31.3,50.2,11
2015,Mount St. Mary's,2.369,22.0,30.2,36.8,11.0,52.1,15
2015,Wofford,2.986,7.9,21.3,35.0,35.8,29.2,14
2015,Akron,2.420,28.2,21.0,31.2,19.5,49.2,15
2015,Colorado,2.498,12.2,39.4,34.8,13.6,51.6,14
2015,Army,2.944,6.2,8.0,71.0,14.8,14.2,20
2015,Clemson,2.664,18.1,26.4,26.4,29.0,44.5,12
2015,Gardner Webb,3.173,0.0,13.6,55.5,30.9,13.6,11
2015,Kansas,1.974,28.6,45.5,25.6,0.2,74.1,16
2015,Southern Illinois,2.186,26.1,37.0,29.0,7.9,63.1,12
2015,Presbyterian,2.386,33.3,24.1,13.2,29.4,57.4,13
2015,UNC Asheville,2.276,24.1,45.4,9.2,21.2,69.6,16
2015,UC Riverside,3.069,16.4,0.0,43.7,39.8,16.4,13
2015,Tulsa,2.909,1.8,4.9,93.1,0.0,6.7,15
2015,Fairfield,2.459,26.4,13.4,46.6,13.2,39.8,16
2015,Youngstown St.,2.906,7.0,32.0,24.6,36.5,38.9,12
2015,South Carolina St.,1.941,35.5,37.4,20.2,5.8,72.9,13
2015,Quinnipiac,3.029,22.8,10.0,8.5,58.6,32.9,14
2015,Green Bay,3.092,9.6,14.9,32.2,43.3,24.5,13
2015,Richmond,2.849,1.5,30.1,50.6,17.9,31.5,13
2015,Miami FL,2.294,26.5,21.8,47.4,4.2,48.3,13
2015,Lamar,2.924,16.6,15.4,26.9,41.1,32.0,14
2015,Navy,2.706,17.5,22.6,31.8,28.2,40.1,18
2015,FIU,3.029,2.2,25.7,39.2,32.9,27.9,13
2015,Weber St.,2.398,12.6,44.0,34.6,8.8,56.5,10
2015,Wagner,2.084,49.4,13.1,17.3,20.3,62.4,13
2015,Central Michigan,2.472,21.9,12.0,62.3,3.6,33.9,15
2015,Cleveland St.,2.930,8.9,15.4,49.4,26.3,24.3,14
2015,Delaware St.,3.213,13.4,18.5,1.6,66.6,31.9,15
2015,Sam Houston St.,3.375,6.0,7.6,29.4,57.0,13.6,15
2015,Seton Hall,2.128,45.9,16.6,16.2,21.2,62.5,12
2015,Northern Colorado,3.230,1.3,25.5,22.3,51.0,26.7,13
2015,Cornell,3.065,6.8,36.1,0.8,56.3,42.9,17
2015,Louisiana,2.672,21.4,6.8,55.2,16.6,28.1,15
2015,Northwestern St.,2.558,11.0,34.5,42.3,12.2,45.5,14
2015,La Salle,2.825,13.7,29.9,16.8,39.7,43.5,12
2015,Old Dominion,2.889,0.0,34.4,42.3,23.3,34.4,13
2015,Penn,2.102,43.3,17.6,24.6,14.5,60.9,14
2015,Georgia Tech,2.619,19.8,22.2,34.3,23.7,42.0,15
2015,Coppin St.,3.272,3.6,18.6,25.0,52.9,22.1,14
2015,Jacksonville St.,3.143,14.9,7.0,27.0,51.1,21.9,14
2015,Stetson,1.965,49.0,28.2,0.0,22.8,77.2,11
2015,Iowa,3.113,5.5,12.0,48.1,34.4,17.5,14
2015,Air Force,2.619,29.0,23.5,4.0,43.4,52.5,18
2015,Eastern Illinois,3.003,17.5,2.7,41.8,38.0,20.2,13
2015,Cal St. Northridge,3.101,11.2,14.0,28.3,46.5,25.2,10
2015,Indiana St.,2.694,22.9,10.0,41.8,25.2,32.9,13
2015,Belmont,2.468,18.7,39.4,18.1,23.7,58.2,15
2015,Florida,2.550,20.8,21.9,38.8,18.5,42.7,13
2015,Grand Canyon,2.669,32.9,4.5,25.3,37.3,37.5,15
2015,Southern Utah,2.228,22.5,36.6,36.5,4.4,59.1,15
2015,South Carolina,2.550,9.4,41.1,34.6,14.9,50.5,12
2015,George Mason,2.537,20.2,25.2,35.4,19.3,45.4,14
2015,Harvard,3.196,3.6,18.4,32.8,45.2,22.0,16
2015,George Washington,2.681,20.1,3.9,64.0,12.1,24.0,12
2015,Idaho,2.762,17.0,31.9,9.0,42.1,48.9,13
2015,UC Santa Barbara,2.961,12.7,10.1,45.6,31.6,22.8,14
2015,Northern Arizona,3.259,1.8,25.0,18.5,54.6,26.9,16
2015,Western Carolina,2.923,16.2,0.0,58.8,24.9,16.2,13
2015,Longwood,2.433,21.8,22.8,36.0,17.0,44.6,12
2015,UNLV,2.030,54.5,16.7,0.2,28.6,71.2,12
2015,Drexel,2.215,33.9,21.8,33.3,11.0,55.7,10
2015,Fordham,2.063,49.1,7.0,32.0,11.8,56.2,14
2015,New Hampshire,2.355,18.6,42.4,23.9,15.1,61.0,13
2015,Pittsburgh,2.444,4.0,62.4,18.9,14.7,66.4,14
