team,close_wins,close_losses,close_game_record,last10_win_pct,last10_adj_margin
Syracuse,1,1,0.5,0.143,-15.1
Texas Christian,2,3,0.4,0.4,-1.8
Tarleton State,1,0,1.0,0.333,-6.7
Temple,0,0,0.5,0.0,-18.0
Tennessee State,1,0,1.0,0.5,-6.5
Tennessee Tech,0,0,0.5,0.2,-17.4
Tennessee,3,7,0.3,0.5,3.7
Texas A&M,0,1,0.0,0.0,-15.2
Texas A&M-Corpus Christi,0,0,0.5,0.333,-12.0
Texas,2,0,1.0,0.5,0.1
Texas Southern,0,1,0.0,0.5,-2.0
Texas State,0,1,0.0,0.5,3.0
Texas Tech,6,4,0.6,0.6,5.2
The Citadel,0,1,0.0,0.0,-9.5
Toledo,0,2,0.0,0.2,0.4
Towson,1,0,1.0,0.6,-3.0
Troy,0,1,0.0,0.0,-4.0
Tulane,0,0,0.5,1.0,6.0
UAB,0,0,0.5,0.0,-14.0
UAlbany Great Danes,0,1,0.0,0.667,7.3
UC Davis,0,2,0.0,0.167,-4.2
UC Irvine,1,0,1.0,0.8,7.2
UC Riverside,0,0,0.5,0.143,-18.4
UC San Diego,0,1,0.0,0.667,7.0
UC Santa Barbara,0,1,0.0,0.6,8.4
Central Florida,2,0,1.0,0.5,-6.1
UCLA,3,1,0.75,0.5,-2.4
Connecticut,8,1,0.889,0.7,6.8
UIC,0,1,0.0,0.5,3.0
UL Monroe,0,0,0.5,0.0,-34.5
UMBC,0,0,0.5,1.0,15.0
UMass Lowell River Hawks,0,0,0.5,0.4,-11.8
UNC Asheville,1,0,1.0,0.5,-10.5
UNC Greensboro,1,0,1.0,1.0,5.0
UNC Wilmington,0,0,0.5,0.75,14.5
UNLV,0,0,0.5,0.0,-23.5
Southern California,3,1,0.75,0.4,-8.4
UT Arlington,0,1,0.0,0.667,7.0
UT Martin,0,2,0.0,0.5,14.8
UT Rio Grande Valley,1,1,0.5,0.333,-4.0
UTEP,0,0,0.5,1.0,6.0
UT San Antonio,0,0,0.5,0.0,-42.0
Utah State,0,0,0.5,0.333,-4.7
Utah Tech,1,0,1.0,0.4,-7.0
Utah,0,1,0.0,0.0,-13.3
Utah Valley,0,1,0.0,0.667,7.0
VCU,0,0,0.5,0.4,-0.2
VMI,0,0,0.5,0.0,-29.0
Valparaiso,0,1,0.0,0.0,-25.0
Vanderbilt,4,4,0.5,0.6,2.2
Vermont,1,0,1.0,0.6,0.4
Villanova,0,1,0.0,0.286,-8.1
Virginia,7,2,0.778,0.8,7.0
Virginia Tech,0,1,0.0,0.333,-3.2
WVU Tech Golden,0,0,0.5,0.0,-50.0
Wagner,1,0,1.0,0.333,-4.7
Wake Forest,0,4,0.0,0.0,-10.0
Warren Wilson,0,0,0.5,0.0,-61.0
Washington,0,1,0.0,0.222,-4.8
Washington State,0,0,0.5,0.0,-25.5
Weber State,1,1,0.5,0.5,-1.8
West Coast Baptist,0,0,0.5,0.0,-65.0
West Georgia,2,0,1.0,0.4,-13.0
West Virginia,0,0,0.5,0.429,-7.3
Western Carolina,0,0,0.5,0.0,-35.5
Western Illinois,0,1,0.0,0.0,-9.5
Western Kentucky,0,1,0.0,0.5,19.0
Western Michigan,0,1,0.0,0.0,-5.5
William & Mary,0,1,0.0,0.5,0.0
Winthrop,1,1,0.5,0.5,-2.2
Wisconsin,5,2,0.714,0.7,5.1
Wofford,0,0,0.5,0.5,-2.5
Wright State,1,1,0.5,0.75,4.2
Wyoming,0,1,0.0,0.5,5.5
Xavier,0,1,0.0,0.2,-12.6
Yale,0,0,0.5,0.5,-3.5
Youngstown State,1,1,0.5,0.75,11.8
