season,team,conference,wins,win_pct,losses,adj_margin,strength_of_schedule,points_per_game,points_allowed_per_game,ft_pct,three_pt_pct,three_pa_rate,ft_rate,off_rebound_pct,def_rebound_pct,turnover_pct,adj_offense,adj_defense,coach,coach_years_at_school,coach_ncaa_games,coach_sweet16s,coach_finalfours,road_wins,road_losses,neutral_wins,neutral_losses,net_rank,quad1_wins,quad2_wins,tempo,opp_turnover_pct,opp_three_pt_pct,close_game_record,last10_win_pct,last10_adj_margin,avg_age,underclass_minutes_pct,freshman_minutes_pct,freshman_guard_minutes_pct,sophomore_minutes_pct,junior_minutes_pct,senior_minutes_pct,returning_starters,returning_minutes_pct,primary_guard_experience_score,backcourt_experience_score,frontcourt_experience_score,bench_minutes_pct,bench_points_pct,injury_flag,star_player_flag,chicago_guard_count,nyc_guard_count,indiana_guard_count,texas_big_count,southern_big_count,west_coast_wing_count,local_site_player_count,host_state_player_count,adj_offense_pctile,adj_defense_pctile,adj_margin_pctile,turnover_pct_pctile,off_rebound_pct_pctile,def_rebound_pct_pctile,ft_pct_pctile,scoring_balance,neutral_win_pct,road_win_pct,road_neutral_win_pct,defense_score,efficiency_score,guard_play_score,clutch_score,rebounding_score,region_bias_score,consistency_score,committee_alignment_score,model_vs_committee_gap,cinderella_score,first_year_coach_flag,foul_dependence,pbp_composite,contender_score,upset_risk_score,expected_round,predicted_seed_line,slow_paced,fast_paced,title_darkhorse_flag,fraud_favorite_flag,dangerous_low_seed_flag,underseeded_flag,overseeded_flag,cinderella_flag,high_foul_dependence_flag,archetype,vuln_tags,strength_tags,explanation_summary
2026,Furman,10,22,0.647,12.0,-3.24,-6.14,76.5,70.5,69.0,32.7,27.1,18.3,10.9,27.1,11.9,74.7,72.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.93150684931507,35.06849315068493,54.24657534246575,61.09589041095891,48.35616438356165,8.082191780821917,80.95890410958904,,0.5,0.5,0.5,62.7,44.5,39.1,40.2,64.8,50.1,58.5,50.2,-5.7,42.2,0,18.3,50.0,50.5,52.6,Sweet 16,7,False,False,False,False,False,False,False,False,False,Solid Tournament Team,🧊 Shooter's curse — one cold night from three and they can't adjust,🔒 Solid D — won't give you easy baskets,Furman profiles as a Solid Tournament Team with a contender score of 50.5/100. Model projects Sweet 16 exit.
2026,Gardner-Webb,1,4,0.121,29.0,-22.36,-1.86,68.1,85.5,68.4,30.9,22.3,17.7,8.5,22.2,13.6,67.5,86.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.86301369863014,99.17808219178083,98.9041095890411,92.6027397260274,92.46575342465754,90.82191780821918,87.12328767123287,,0.5,0.5,0.5,20.6,35.6,28.2,33.5,7.1,50.1,1.2,18.5,17.1,13.8,0,17.7,50.0,25.5,72.2,R64,12,False,False,False,False,False,True,False,False,False,Solid Tournament Team,🔓 Below-average defense — can be carved up by quality offenses | 🧊 Shooter's curse — one cold night from three and they can't adjust,🔒 Defense travels — elite on any neutral floor,"Gardner-Webb profiles as a Solid Tournament Team with a contender score of 25.5/100. Watch out for: poor clutch metrics, defensive vulnerability. Model projects R64 exit."
2026,George Mason,11,23,0.719,9.0,6.45,1.19,73.3,67.5,72.8,34.1,18.7,22.4,9.6,25.2,10.6,73.7,67.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.136986301369866,9.315068493150685,26.575342465753426,26.027397260273972,78.21917808219177,35.342465753424655,48.76712328767123,,0.5,0.5,0.5,69.8,59.7,56.6,54.4,47.4,50.1,79.4,71.6,-11.9,68.1,0,22.4,50.0,61.1,38.5,Elite 8,4,False,False,False,False,True,False,False,False,False,Cinderella Profile,,🔒 Solid D — won't give you easy baskets | 📐 Consistent — no random bad nights; you know what you're getting,George Mason profiles as a Cinderella Profile with a contender score of 61.1/100. Key strengths: elite defense. Model projects Elite 8 exit. [DANGEROUS LOW SEED]
2026,George Washington,8,18,0.545,15.0,9.05,2.24,82.1,73.7,71.8,35.2,28.3,21.3,12.8,25.0,12.7,82.8,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.520547945205479,40.41095890410959,21.78082191780822,79.86301369863014,10.136986301369863,39.45205479452055,58.082191780821915,,0.5,0.5,0.5,52.7,61.6,43.1,43.3,77.5,50.1,69.4,67.2,-5.6,38.8,0,21.3,50.0,57.2,47.4,Sweet 16,5,False,False,False,False,True,False,False,False,False,Solid Tournament Team,,🪤 Trap the glass — extra possessions every single game,George Washington profiles as a Solid Tournament Team with a contender score of 57.2/100. Key strengths: dominant rebounding. Model projects Sweet 16 exit. [DANGEROUS LOW SEED]
2026,Georgetown,6,16,0.471,18.0,9.22,8.51,73.6,72.9,74.0,31.8,20.4,21.6,11.2,24.4,10.7,76.2,70.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.20547945205479,23.424657534246577,21.232876712328768,28.356164383561644,39.45205479452055,50.136986301369866,35.06849315068493,,0.5,0.5,0.5,61.7,63.4,55.4,57.6,60.7,50.1,63.7,66.2,-2.8,71.2,0,21.6,50.0,60.7,39.7,Elite 8,5,False,False,False,False,True,False,False,False,False,Cinderella Profile,🧊 Shooter's curse — one cold night from three and they can't adjust,,Georgetown profiles as a Cinderella Profile with a contender score of 60.7/100. Model projects Elite 8 exit. [DANGEROUS LOW SEED]
2026,Georgia,10,22,0.688,10.0,19.57,8.91,89.8,79.2,75.4,34.1,28.8,24.2,13.0,25.2,10.7,92.5,76.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.821917808219178,68.08219178082192,6.575342465753424,28.356164383561644,8.21917808219178,35.342465753424655,17.397260273972602,,0.5,0.5,0.5,49.0,67.9,62.3,62.4,82.9,50.1,90.1,81.4,-13.5,64.6,0,24.2,50.0,65.9,36.3,Elite 8,3,False,False,True,False,True,False,False,False,True,Pace-and-Space Gunners,,🔒 Defense travels — elite on any neutral floor | 💪 Proven in close games — knows how to finish | 🪤 Trap the glass — extra possessions every single game,Georgia profiles as a Pace-and-Space Gunners with a contender score of 65.9/100. Key strengths: dominant rebounding. Model projects Elite 8 exit. [DARKHORSE ALERT | DANGEROUS LOW SEED]
2026,Georgia Southern,8,21,0.568,16.0,-6.48,-6.02,80.9,79.7,74.5,33.7,29.7,23.7,10.8,23.4,10.4,79.1,81.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.136986301369863,92.46575342465754,66.57534246575342,19.315068493150687,50.68493150684932,75.34246575342466,26.71232876712329,,0.5,0.5,0.5,33.4,41.0,62.1,61.3,37.8,50.1,45.3,44.3,-3.3,54.6,0,23.7,50.0,45.0,51.3,R32,8,False,False,False,False,False,False,False,False,True,Solid Tournament Team,🔓 Below-average defense — can be carved up by quality offenses,🔒 Defense travels — elite on any neutral floor,Georgia Southern profiles as a Solid Tournament Team with a contender score of 45.0/100. Watch out for: defensive vulnerability. Model projects R32 exit.
2026,Georgia State,7,10,0.313,22.0,-11.59,-4.59,70.4,74.7,78.4,31.8,25.5,21.7,10.7,24.4,10.9,69.0,76.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.6986301369863,64.93150684931507,83.83561643835617,34.794520547945204,53.83561643835616,50.136986301369866,3.287671232876712,,0.5,0.5,0.5,46.5,37.4,60.1,65.1,41.7,50.1,14.4,23.6,13.8,73.4,0,21.7,50.0,44.0,51.7,R32,11,False,False,False,False,False,False,False,False,False,Solid Tournament Team,🧊 Shooter's curse — one cold night from three and they can't adjust,🔒 Defense travels — elite on any neutral floor | 🎯 Ice at the stripe — won't blow leads at the line late | 💪 Proven in close games — knows how to finish,Georgia State profiles as a Solid Tournament Team with a contender score of 44.0/100. Key strengths: clutch performance. Model projects R32 exit.
2026,Georgia Tech,2,11,0.355,20.0,3.1,6.74,73.8,77.4,71.1,35.099999999999994,19.8,19.9,10.6,26.4,13.4,75.8,75.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.397260273972606,61.09589041095891,34.794520547945204,90.82191780821918,56.57534246575342,15.479452054794521,63.561643835616444,,0.5,0.5,0.5,49.2,59.0,39.2,40.0,62.4,50.1,46.5,53.6,5.4,34.5,0,19.9,50.0,51.0,52.4,Sweet 16,7,False,False,False,False,False,False,False,False,False,Solid Tournament Team,,🔒 Defense travels — elite on any neutral floor,Georgia Tech profiles as a Solid Tournament Team with a contender score of 51.0/100. Model projects Sweet 16 exit.
2026,Gonzaga,16,30,0.909,3.0,25.11,5.98,85.1,66.0,69.89999999999999,34.0,19.6,19.7,12.0,27.9,9.7,86.9,64.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.027397260273973,3.287671232876712,2.4657534246575343,8.356164383561644,23.15068493150685,3.4246575342465753,73.42465753424658,,0.5,0.5,0.5,80.1,68.4,55.8,50.6,88.2,50.1,98.2,86.7,-18.3,63.8,0,19.7,50.0,69.4,33.5,Final Four,3,False,False,True,False,True,False,True,False,False,Glass & Paint,,🔒 Defense travels — elite on any neutral floor | 🪤 Trap the glass — extra possessions every single game | 📐 Consistent — no random bad nights; you know what you're getting,"Gonzaga profiles as a Glass & Paint with a contender score of 69.4/100. Key strengths: elite defense, dominant rebounding. Model projects Final Four exit. [DARKHORSE ALERT | DANGEROUS LOW SEED]"
2026,Grambling,7,14,0.424,19.0,-12.21,-9.99,70.3,70.1,73.2,31.8,20.8,22.5,10.3,23.2,14.6,67.3,73.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.41095890410958,41.23287671232877,84.65753424657534,97.53424657534246,64.10958904109589,78.21917808219177,43.15068493150685,,0.5,0.5,0.5,42.9,32.7,36.5,44.4,27.1,50.1,21.4,22.1,10.6,36.7,0,22.5,50.0,35.5,62.4,R64,11,False,False,False,False,False,False,False,False,True,Solid Tournament Team,🧊 Shooter's curse — one cold night from three and they can't adjust,,Grambling profiles as a Solid Tournament Team with a contender score of 35.5/100. Model projects R64 exit.
2026,Grand Canyon,13,20,0.625,12.0,11.03,4.06,75.6,68.7,75.3,31.8,22.1,22.4,10.3,25.9,12.2,76.8,67.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.73972602739726,10.547945205479452,18.356164383561644,70.68493150684931,64.10958904109589,20.273972602739725,18.63013698630137,,0.5,0.5,0.5,67.9,63.2,48.1,55.3,60.7,50.1,78.6,72.7,-9.5,68.2,0,22.4,50.0,62.1,39.0,Elite 8,4,False,False,False,False,True,False,False,False,False,Cinderella Profile,🧊 Shooter's curse — one cold night from three and they can't adjust,🔒 Solid D — won't give you easy baskets | 📐 Consistent — no random bad nights; you know what you're getting,Grand Canyon profiles as a Cinderella Profile with a contender score of 62.1/100. Key strengths: elite defense. Model projects Elite 8 exit. [DANGEROUS LOW SEED]
2026,Green Bay,12,18,0.545,15.0,-5.0,-3.04,74.8,74.8,76.6,36.2,19.5,21.8,7.6,23.7,10.5,73.9,75.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.178082191780824,63.15068493150685,61.09589041095891,22.876712328767123,97.3972602739726,67.12328767123287,10.547945205479452,,0.5,0.5,0.5,44.9,45.4,68.5,65.1,20.7,50.1,45.8,45.7,-0.3,68.4,0,21.8,50.0,48.4,45.7,R32,8,False,False,False,False,False,False,False,False,False,Solid Tournament Team,,🔒 Defense travels — elite on any neutral floor | 🧠 Veteran guards — calmness is contagious in March | 💪 Proven in close games — knows how to finish,"Green Bay profiles as a Solid Tournament Team with a contender score of 48.4/100. Key strengths: strong guard play, clutch performance. Model projects R32 exit."
