season,team,conference,wins,losses,win_pct,adj_margin,strength_of_schedule,points_per_game,points_allowed_per_game,ft_pct,three_pt_pct,three_pa_rate,ft_rate,off_rebound_pct,def_rebound_pct,turnover_pct,adj_offense,adj_defense,coach,coach_years_at_school,coach_ncaa_games,coach_sweet16s,coach_finalfours,road_wins,road_losses,neutral_wins,neutral_losses,net_rank,quad1_wins,quad2_wins,tempo,opp_turnover_pct,opp_three_pt_pct,close_game_record,last10_win_pct,last10_adj_margin,avg_age,underclass_minutes_pct,freshman_minutes_pct,freshman_guard_minutes_pct,sophomore_minutes_pct,junior_minutes_pct,senior_minutes_pct,returning_starters,returning_minutes_pct,primary_guard_experience_score,backcourt_experience_score,frontcourt_experience_score,bench_minutes_pct,bench_points_pct,injury_flag,star_player_flag,chicago_guard_count,nyc_guard_count,indiana_guard_count,texas_big_count,southern_big_count,west_coast_wing_count,local_site_player_count,host_state_player_count,wab,barthag,eff_fg_pct,opp_eff_fg_pct,adj_offense_pctile,adj_defense_pctile,adj_margin_pctile,turnover_pct_pctile,off_rebound_pct_pctile,def_rebound_pct_pctile,ft_pct_pctile,scoring_balance,neutral_win_pct,road_win_pct,road_neutral_win_pct,defense_score,efficiency_score,guard_play_score,clutch_score,rebounding_score,region_bias_score,committee_alignment_score,model_vs_committee_gap,pbp_composite,contender_score,upset_risk_score,expected_round,predicted_seed_line,title_darkhorse_flag,fraud_favorite_flag,dangerous_low_seed_flag,underseeded_flag,overseeded_flag,model_rank
2026,Indiana,9,18,123,0.563,21.2,10.7,78.2,72.2,78.0,34.6,50.9,34.6,26.9,29.3,15.0,122.1,100.9,,,,,,,,,,41.0,,,67.3,15.2,32.9,1.0,0.2,-7.2,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.8996,56.2,48.8,6.301369863013699,27.26027397260274,7.260273972602739,32.465753424657535,67.94520547945206,55.06849315068493,4.383561643835616,,0.5,0.5,0.5,59.8,84.8,64.5,75.1,49.0,50.1,77.4,7.4,50.0,69.0,27.2,Elite 8,4,True,False,True,False,False,21
2026,Nebraska,15,26,195,0.813,24.4,10.48,77.3,66.2,75.0,35.4,50.6,27.5,26.2,27.3,14.3,117.9,93.5,,,,,,,,,,14.0,,,67.9,19.3,29.8,0.5,0.6,4.7,,,,,,,,,,,,,,,,,,,,,,,,,7.6,0.9356,55.7,47.6,13.835616438356164,19.041095890410958,5.47945205479452,25.068493150684933,71.91780821917808,72.46575342465754,21.91780821917808,,0.5,0.5,0.5,68.8,88.0,64.2,64.6,41.5,50.1,91.9,-3.9,50.0,68.9,27.6,Elite 8,2,False,False,False,False,False,22
2026,South Florida,15,24,279,0.75,14.2,2.43,88.3,76.2,74.3,33.0,44.1,42.0,38.2,31.7,15.2,116.9,102.7,,,,,,,,,,45.0,,,72.4,18.7,34.7,0.5,0.8,10.0,,,,,,,,,,,,,,,,,,,,,,,,,-0.7,0.8149,51.0,48.9,15.068493150684931,33.83561643835616,15.342465753424658,34.657534246575345,2.328767123287671,27.671232876712327,30.82191780821918,,0.5,0.5,0.5,64.0,77.8,56.5,62.6,86.5,50.1,84.7,-6.9,50.0,68.8,33.8,Elite 8,3,True,False,True,False,False,23
2026,Kentucky,10,21,138,0.618,19.3,12.88,80.8,73.8,72.8,34.9,39.4,37.5,34.7,29.4,15.3,119.4,100.1,,,,,,,,,,28.0,,,69.1,15.5,32.1,0.667,0.5,-2.3,,,,,,,,,,,,,,,,,,,,,,,,,2.5,0.8836,53.4,48.7,10.821917808219178,26.027397260273972,9.315068493150685,36.43835616438356,12.191780821917808,53.6986301369863,48.76712328767123,,0.5,0.5,0.5,62.0,85.5,55.1,61.6,74.1,50.1,86.6,-1.1,50.0,68.8,32.4,Elite 8,3,True,False,True,False,False,24
2026,Brigham Young,9,23,30,0.676,20.6,12.46,83.9,75.3,74.6,34.7,40.2,35.0,34.2,28.9,14.9,124.4,103.8,,,,,,,,,,23.0,,,70.7,15.7,35.0,0.75,0.4,-2.8,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.8889,54.6,51.1,4.10958904109589,39.178082191780824,7.671232876712329,31.506849315068493,13.698630136986301,60.273972602739725,25.205479452054796,,0.5,0.5,0.5,51.0,86.6,60.7,68.5,71.5,50.1,88.2,-1.6,50.0,68.7,31.1,Elite 8,2,True,False,True,False,False,25
2026,Michigan State,15,25,177,0.781,26.9,12.92,78.9,68.4,76.3,35.5,36.4,36.2,38.3,22.6,17.1,121.0,94.1,,,,,,,,,,11.0,,,66.8,14.9,32.4,0.625,0.6,1.3,,,,,,,,,,,,,,,,,,,,,,,,,7.8,0.9474,53.6,48.0,8.767123287671232,20.273972602739725,3.9726027397260277,65.61643835616438,1.7808219178082192,97.94520547945206,12.191780821917808,,0.5,0.5,0.5,50.8,90.3,56.2,68.1,64.4,50.1,93.5,-3.2,50.0,68.2,31.1,Elite 8,2,False,False,False,False,False,26
2026,Tulsa,13,26,318,0.788,13.9,0.81,85.6,73.0,78.10000000000001,39.7,46.1,40.8,32.4,28.7,15.1,121.7,107.8,,,,,,,,,,52.0,,,68.9,15.6,33.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.49,0.8013,57.4,50.1,7.397260273972603,55.205479452054796,15.616438356164384,33.42465753424658,24.383561643835616,61.917808219178085,3.9726027397260277,,0.5,0.5,0.5,48.1,72.0,68.5,91.1,64.5,50.1,77.7,-5.7,50.0,68.1,27.8,Elite 8,4,True,False,True,False,False,27
2026,North Carolina State,10,20,194,0.606,19.5,10.85,83.7,76.5,76.8,38.0,44.0,34.5,28.6,30.5,13.2,122.0,102.5,,,,,,,,,,36.0,,,70.0,18.3,35.0,0.333,0.2,-10.9,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.8814,55.1,52.5,6.8493150684931505,33.013698630136986,8.767123287671232,18.356164383561644,55.205479452054796,40.273972602739725,9.178082191780822,,0.5,0.5,0.5,62.0,84.1,70.7,54.5,59.6,50.1,80.8,3.3,50.0,67.7,31.9,Elite 8,3,True,False,True,False,False,28
2026,Louisville,11,23,155,0.697,26.9,10.84,84.8,72.2,76.9,36.3,53.2,33.5,33.1,26.6,16.3,125.2,98.3,,,,,,,,,,16.0,,,71.1,16.7,32.6,0.333,0.6,6.1,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.9418,56.8,48.6,2.6027397260273974,24.10958904109589,3.9726027397260277,52.054794520547944,18.21917808219178,79.45205479452055,8.493150684931507,,0.5,0.5,0.5,57.1,88.7,61.6,55.8,63.5,50.1,90.4,-1.7,50.0,67.4,32.9,Elite 8,2,True,False,False,False,False,29
2026,Auburn,7,17,17,0.515,18.3,13.69,82.7,79.4,74.4,33.9,38.8,45.4,38.0,32.5,14.7,124.5,106.2,,,,,,,,,,38.0,,,68.3,16.5,36.9,0.333,0.3,-5.9,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.8618,52.7,54.1,3.6986301369863015,45.75342465753425,10.684931506849315,29.863013698630137,2.73972602739726,19.17808219178082,28.767123287671232,,0.5,0.5,0.5,55.0,83.7,59.4,48.3,90.2,50.1,78.0,5.7,50.0,67.0,37.5,Elite 8,4,True,False,True,False,False,30
