event_id,date,round,region,t1,t2,winner,loser,t1_score,t2_score,model_pick,model_conf,correct,upset,winner_seed,loser_seed,winner_flags,loser_flags,winner_hot,loser_hot,narrative,t1_fg_pct,t1_fg3_pct,t1_ft_pct,t1_rebounds,t1_off_reb,t1_turnovers,t1_assists,t1_steals,t1_blocks,t1_h1,t1_h2,t2_fg_pct,t2_fg3_pct,t2_ft_pct,t2_rebounds,t2_off_reb,t2_turnovers,t2_assists,t2_steals,t2_blocks,t2_h1,t2_h2
401856496,20260320,R64,,UCLA,Central Florida,UCLA,Central Florida,75,71,UCLA,0.89,True,False,7.0,10.0,Dangerous,Dangerous,,,,38.0,38.0,31.0,53.0,25.0,17.0,15.0,3.0,2.0,35.0,40.0,40.0,29.0,72.0,41.0,15.0,8.0,11.0,13.0,9.0,27.0,44.0
401856518,20260320,R64,,Miami,Missouri,Miami,Missouri,80,66,Miami,0.527,True,False,7.0,10.0,Dangerous,Dangerous,,,,35.0,36.0,89.0,30.0,7.0,9.0,16.0,5.0,5.0,27.0,53.0,43.0,46.0,59.0,46.0,16.0,9.0,19.0,7.0,2.0,26.0,40.0
401856528,20260320,R64,,Villanova,Utah State,Utah State,Villanova,76,86,Villanova,0.531,False,False,9.0,8.0,Dangerous,Dangerous,,,,55.0,13.0,78.0,37.0,9.0,9.0,19.0,4.0,0.0,39.0,37.0,44.0,47.0,46.0,27.0,10.0,9.0,16.0,6.0,0.0,37.0,49.0
401856522,20260320,R64,,Clemson,Iowa,Iowa,Clemson,61,67,Iowa,0.585,True,False,9.0,8.0,Dangerous,Dangerous,,,,38.0,28.0,77.0,40.0,15.0,8.0,5.0,3.0,1.0,25.0,36.0,41.0,35.0,67.0,27.0,10.0,3.0,12.0,4.0,2.0,32.0,35.0
401856532,20260321,R32,West,Michigan,Saint Louis,Michigan,Saint Louis,95,72,Michigan,0.607,True,False,1.0,9.0,,,,,,56.0,48.0,70.0,42.0,11.0,9.0,20.0,2.0,9.0,48.0,47.0,44.0,31.0,53.0,27.0,5.0,8.0,16.0,7.0,1.0,39.0,33.0
401856531,20260321,R32,East,Michigan State,Louisville,Michigan State,Louisville,77,69,Michigan State,0.587,True,False,3.0,6.0,Dangerous,Dangerous,,,"✅ Michigan State def. Louisville 77–69 (#3 over #6). Model picked Michigan State at 59% confidence — correct.
Louisville actually shot better (47% vs 41%), but Michigan State's turnover advantage (11 vs 15) told a different story. The model pre-game read held up despite the shooting numbers.
Model was only 58% here but won by 8 — the actual performance was more one-sided than expected. Worth checking whether this team's metrics are underrated.",41.0,35.0,67.0,32.0,11.0,11.0,16.0,5.0,2.0,36.0,41.0,47.0,42.0,74.0,39.0,11.0,15.0,22.0,4.0,5.0,31.0,38.0
401856530,20260321,R32,East,Duke,Texas Christian,Duke,Texas Christian,81,58,Texas Christian,0.522,False,False,1.0,9.0,,Dangerous,,,,55.0,33.0,87.0,42.0,9.0,17.0,17.0,5.0,4.0,38.0,43.0,33.0,29.0,50.0,25.0,11.0,8.0,12.0,12.0,3.0,34.0,24.0
401856535,20260321,R32,,Houston,Texas A&M,Houston,Texas A&M,88,57,Houston,0.762,True,False,2.0,10.0,Dangerous,Dangerous,,,"✅ Houston def. Texas A&M 88–57 (#2 over #10). Model picked Houston at 76% confidence — correct.
Texas A&M actually shot better (44% vs 35%) but still lost by 31 — other factors (turnovers, rebounding) overcame the shooting gap.
High-confidence call (76%) that held up by 31 — when the model is this sure and the margin is this wide, it signals the underlying quality metrics are reading the matchup correctly.",35.0,25.0,79.0,29.0,9.0,11.0,9.0,4.0,0.0,46.0,42.0,44.0,26.0,80.0,46.0,19.0,7.0,14.0,4.0,7.0,28.0,29.0
401856537,20260321,R32,West,Gonzaga,Texas,Texas,Gonzaga,68,74,Gonzaga,0.634,False,True,11.0,3.0,Dangerous,Dangerous,,,"❌ Texas def. Gonzaga 74–68 (#11 over #3) — UPSET. Model picked Gonzaga at 63% confidence — missed.
Texas shot 45% vs Gonzaga's 52%, yet it came down to 6 — the shooting edge was not enough to convert, which happens in close tournament games.
Lost by 6 — within the noise floor of tournament basketball. Do not over-correct. A game this tight on a different night could easily flip.",52.0,33.0,78.0,29.0,5.0,5.0,20.0,4.0,2.0,33.0,35.0,45.0,25.0,83.0,34.0,9.0,7.0,21.0,5.0,1.0,35.0,39.0
401856533,20260321,R32,South,Illinois,Virginia Commonwealth,Illinois,Virginia Commonwealth,76,55,Illinois,0.81,True,False,0.0,0.0,Dangerous,Dangerous,,,,48.0,38.0,65.0,45.0,12.0,11.0,15.0,5.0,5.0,35.0,41.0,35.0,22.0,33.0,29.0,12.0,10.0,8.0,8.0,2.0,28.0,27.0
